,index,ISOCode,RSA,PLAN,contry_index,variable,group_rsa,sum_rsa,group_plan,sum_plan
15,3,MYS,"{'groups': [{'group': 3.0, 'sum': 90.46721881439854}, {'group': 4.0, 'sum': 94310.51661604174}]}","{'groups': [{'group': 3.0, 'sum': 84.88815218750003}, {'group': 4.0, 'sum': 93930.8091896993}]}",3,3,,,,
16,4,ZWE,"{'groups': [{'group': 3.0, 'sum': 1030.719912185056}, {'group': 4.0, 'sum': 118224.31189620936}]}","{'groups': [{'group': 3.0, 'sum': 948.7544569568694}, {'group': 4.0, 'sum': 110787.27273611548}]}",4,0,3.0,1030.719912185056,3.0,948.7544569568694
17,4,ZWE,"{'groups': [{'group': 3.0, 'sum': 1030.719912185056}, {'group': 4.0, 'sum': 118224.31189620936}]}","{'groups': [{'group': 3.0, 'sum': 948.7544569568694}, {'group': 4.0, 'sum': 110787.27273611548}]}",4,1,4.0,118224.31189620936,4.0,110787.27273611548
18,4,ZWE,"{'groups': [{'group': 3.0, 'sum': 1030.719912185056}, {'group': 4.0, 'sum': 118224.31189620936}]}","{'groups': [{'group': 3.0, 'sum': 948.7544569568694}, {'group': 4.0, 'sum': 110787.27273611548}]}",4,2,,,,
19,4,ZWE,"{'groups': [{'group': 3.0, 'sum': 1030.719912185056}, {'group': 4.0, 'sum': 118224.31189620936}]}","{'groups': [{'group': 3.0, 'sum': 948.7544569568694}, {'group': 4.0, 'sum': 110787.27273611548}]}",4,3,,,,
20,5,MDV,{'groups': []},{'groups': []},5,0,,,,
21,5,MDV,{'groups': []},{'groups': []},5,1,,,,
22,5,MDV,{'groups': []},{'groups': []},5,2,,,,
23,5,MDV,{'groups': []},{'groups': []},5,3,,,,
24,6,BEN,"{'groups': [{'group': 4.0, 'sum': 658.2434990782397}]}","{'groups': [{'group': 4.0, 'sum': 642.362210437498}]}",6,0,4.0,658.2434990782397,4.0,642.362210437498
25,6,BEN,"{'groups': [{'group': 4.0, 'sum': 658.2434990782397}]}","{'groups': [{'group': 4.0, 'sum': 642.362210437498}]}",6,1,,,,
26,6,BEN,"{'groups': [{'group': 4.0, 'sum': 658.2434990782397}]}","{'groups': [{'group': 4.0, 'sum': 642.362210437498}]}",6,2,,,,
27,6,BEN,"{'groups': [{'group': 4.0, 'sum': 658.2434990782397}]}","{'groups': [{'group': 4.0, 'sum': 642.362210437498}]}",6,3,,,,
28,7,CZE,"{'groups': [{'group': 3.0, 'sum': 31400.74715338052}]}","{'groups': [{'group': 3.0, 'sum': 20888.641923635372}]}",7,0,3.0,31400.74715338052,3.0,20888.641923635372
29,7,CZE,"{'groups': [{'group': 3.0, 'sum': 31400.74715338052}]}","{'groups': [{'group': 3.0, 'sum': 20888.641923635372}]}",7,1,,,,
30,7,CZE,"{'groups': [{'group': 3.0, 'sum': 31400.74715338052}]}","{'groups': [{'group': 3.0, 'sum': 20888.641923635372}]}",7,2,,,,
31,7,CZE,"{'groups': [{'group': 3.0, 'sum': 31400.74715338052}]}","{'groups': [{'group': 3.0, 'sum': 20888.641923635372}]}",7,3,,,,
32,8,MLI,"{'groups': [{'group': 4.0, 'sum': 7593.178144948994}]}","{'groups': [{'group': 4.0, 'sum': 7377.752667506624}]}",8,0,4.0,7593.178144948994,4.0,7377.752667506624
33,8,MLI,"{'groups': [{'group': 4.0, 'sum': 7593.178144948994}]}","{'groups': [{'group': 4.0, 'sum': 7377.752667506624}]}",8,1,,,,
34,8,MLI,"{'groups': [{'group': 4.0, 'sum': 7593.178144948994}]}","{'groups': [{'group': 4.0, 'sum': 7377.752667506624}]}",8,2,,,,
35,8,MLI,"{'groups': [{'group': 4.0, 'sum': 7593.178144948994}]}","{'groups': [{'group': 4.0, 'sum': 7377.752667506624}]}",8,3,,,,
36,9,DNK,{'groups': []},{'groups': []},9,0,,,,
37,9,DNK,{'groups': []},{'groups': []},9,1,,,,
38,9,DNK,{'groups': []},{'groups': []},9,2,,,,
39,9,DNK,{'groups': []},{'groups': []},9,3,,,,
40,10,ESP,"{'groups': [{'group': 1.0, 'sum': 253.70661889425722}, {'group': 2.0, 'sum': 1095.7480392546988}, {'group': 3.0, 'sum': 260893.2387973389}, {'group': 4.0, 'sum': 67320.139715961}]}","{'groups': [{'group': 1.0, 'sum': 194.33331724485316}, {'group': 2.0, 'sum': 846.440650572301}, {'group': 3.0, 'sum': 194872.46696693712}, {'group': 4.0, 'sum': 52719.019383699626}]}",10,0,1.0,253.70661889425722,1.0,194.33331724485316
41,10,ESP,"{'groups': [{'group': 1.0, 'sum': 253.70661889425722}, {'group': 2.0, 'sum': 1095.7480392546988}, {'group': 3.0, 'sum': 260893.2387973389}, {'group': 4.0, 'sum': 67320.139715961}]}","{'groups': [{'group': 1.0, 'sum': 194.33331724485316}, {'group': 2.0, 'sum': 846.440650572301}, {'group': 3.0, 'sum': 194872.46696693712}, {'group': 4.0, 'sum': 52719.019383699626}]}",10,1,2.0,1095.7480392546988,2.0,846.440650572301
42,10,ESP,"{'groups': [{'group': 1.0, 'sum': 253.70661889425722}, {'group': 2.0, 'sum': 1095.7480392546988}, {'group': 3.0, 'sum': 260893.2387973389}, {'group': 4.0, 'sum': 67320.139715961}]}","{'groups': [{'group': 1.0, 'sum': 194.33331724485316}, {'group': 2.0, 'sum': 846.440650572301}, {'group': 3.0, 'sum': 194872.46696693712}, {'group': 4.0, 'sum': 52719.019383699626}]}",10,2,3.0,260893.2387973389,3.0,194872.46696693712
43,10,ESP,"{'groups': [{'group': 1.0, 'sum': 253.70661889425722}, {'group': 2.0, 'sum': 1095.7480392546988}, {'group': 3.0, 'sum': 260893.2387973389}, {'group': 4.0, 'sum': 67320.139715961}]}","{'groups': [{'group': 1.0, 'sum': 194.33331724485316}, {'group': 2.0, 'sum': 846.440650572301}, {'group': 3.0, 'sum': 194872.46696693712}, {'group': 4.0, 'sum': 52719.019383699626}]}",10,3,4.0,67320.139715961,4.0,52719.019383699626
44,11,DOM,"{'groups': [{'group': 3.0, 'sum': 1518.3798758611474}, {'group': 4.0, 'sum': 17750.18347166611}]}","{'groups': [{'group': 3.0, 'sum': 1397.7067034137463}, {'group': 4.0, 'sum': 16640.61475165281}]}",11,0,3.0,1518.3798758611474,3.0,1397.7067034137463
45,11,DOM,"{'groups': [{'group': 3.0, 'sum': 1518.3798758611474}, {'group': 4.0, 'sum': 17750.18347166611}]}","{'groups': [{'group': 3.0, 'sum': 1397.7067034137463}, {'group': 4.0, 'sum': 16640.61475165281}]}",11,1,4.0,17750.18347166611,4.0,16640.61475165281
46,11,DOM,"{'groups': [{'group': 3.0, 'sum': 1518.3798758611474}, {'group': 4.0, 'sum': 17750.18347166611}]}","{'groups': [{'group': 3.0, 'sum': 1397.7067034137463}, {'group': 4.0, 'sum': 16640.61475165281}]}",11,2,,,,
47,11,DOM,"{'groups': [{'group': 3.0, 'sum': 1518.3798758611474}, {'group': 4.0, 'sum': 17750.18347166611}]}","{'groups': [{'group': 3.0, 'sum': 1397.7067034137463}, {'group': 4.0, 'sum': 16640.61475165281}]}",11,3,,,,
48,12,MLT,{'groups': []},{'groups': []},12,0,,,,
49,12,MLT,{'groups': []},{'groups': []},12,1,,,,
50,12,MLT,{'groups': []},{'groups': []},12,2,,,,
51,12,MLT,{'groups': []},{'groups': []},12,3,,,,
52,13,DMA,{'groups': []},{'groups': []},13,0,,,,
53,13,DMA,{'groups': []},{'groups': []},13,1,,,,
54,13,DMA,{'groups': []},{'groups': []},13,2,,,,
55,13,DMA,{'groups': []},{'groups': []},13,3,,,,
56,14,SDN,"{'groups': [{'group': 3.0, 'sum': 22.215017736239137}, {'group': 4.0, 'sum': 153801.61896904037}]}","{'groups': [{'group': 3.0, 'sum': 20.80631187499999}, {'group': 4.0, 'sum': 144686.98005798412}]}",14,0,3.0,22.215017736239137,3.0,20.80631187499999
57,14,SDN,"{'groups': [{'group': 3.0, 'sum': 22.215017736239137}, {'group': 4.0, 'sum': 153801.61896904037}]}","{'groups': [{'group': 3.0, 'sum': 20.80631187499999}, {'group': 4.0, 'sum': 144686.98005798412}]}",14,1,4.0,153801.61896904037,4.0,144686.98005798412
58,14,SDN,"{'groups': [{'group': 3.0, 'sum': 22.215017736239137}, {'group': 4.0, 'sum': 153801.61896904037}]}","{'groups': [{'group': 3.0, 'sum': 20.80631187499999}, {'group': 4.0, 'sum': 144686.98005798412}]}",14,2,,,,
59,14,SDN,"{'groups': [{'group': 3.0, 'sum': 22.215017736239137}, {'group': 4.0, 'sum': 153801.61896904037}]}","{'groups': [{'group': 3.0, 'sum': 20.80631187499999}, {'group': 4.0, 'sum': 144686.98005798412}]}",14,3,,,,
60,15,ECU,"{'groups': [{'group': 1.0, 'sum': 69.61445046475679}, {'group': 2.0, 'sum': 7201.158200576387}, {'group': 3.0, 'sum': 38149.1853209763}, {'group': 4.0, 'sum': 69622.97781528262}]}","{'groups': [{'group': 1.0, 'sum': 64.0028075}, {'group': 2.0, 'sum': 7065.7911313311015}, {'group': 3.0, 'sum': 37476.22158011167}, {'group': 4.0, 'sum': 68906.255989618}]}",15,0,1.0,69.61445046475679,1.0,64.0028075
61,15,ECU,"{'groups': [{'group': 1.0, 'sum': 69.61445046475679}, {'group': 2.0, 'sum': 7201.158200576387}, {'group': 3.0, 'sum': 38149.1853209763}, {'group': 4.0, 'sum': 69622.97781528262}]}","{'groups': [{'group': 1.0, 'sum': 64.0028075}, {'group': 2.0, 'sum': 7065.7911313311015}, {'group': 3.0, 'sum': 37476.22158011167}, {'group': 4.0, 'sum': 68906.255989618}]}",15,1,2.0,7201.158200576387,2.0,7065.7911313311015
62,15,ECU,"{'groups': [{'group': 1.0, 'sum': 69.61445046475679}, {'group': 2.0, 'sum': 7201.158200576387}, {'group': 3.0, 'sum': 38149.1853209763}, {'group': 4.0, 'sum': 69622.97781528262}]}","{'groups': [{'group': 1.0, 'sum': 64.0028075}, {'group': 2.0, 'sum': 7065.7911313311015}, {'group': 3.0, 'sum': 37476.22158011167}, {'group': 4.0, 'sum': 68906.255989618}]}",15,2,3.0,38149.1853209763,3.0,37476.22158011167
63,15,ECU,"{'groups': [{'group': 1.0, 'sum': 69.61445046475679}, {'group': 2.0, 'sum': 7201.158200576387}, {'group': 3.0, 'sum': 38149.1853209763}, {'group': 4.0, 'sum': 69622.97781528262}]}","{'groups': [{'group': 1.0, 'sum': 64.0028075}, {'group': 2.0, 'sum': 7065.7911313311015}, {'group': 3.0, 'sum': 37476.22158011167}, {'group': 4.0, 'sum': 68906.255989618}]}",15,3,4.0,69622.97781528262,4.0,68906.255989618
64,16,SSD,"{'groups': [{'group': 3.0, 'sum': 43.553277968904695}, {'group': 4.0, 'sum': 37449.77550345606}]}","{'groups': [{'group': 3.0, 'sum': 42.57965500000001}, {'group': 4.0, 'sum': 37368.315161070925}]}",16,0,3.0,43.553277968904695,3.0,42.57965500000001
65,16,SSD,"{'groups': [{'group': 3.0, 'sum': 43.553277968904695}, {'group': 4.0, 'sum': 37449.77550345606}]}","{'groups': [{'group': 3.0, 'sum': 42.57965500000001}, {'group': 4.0, 'sum': 37368.315161070925}]}",16,1,4.0,37449.77550345606,4.0,37368.315161070925
66,16,SSD,"{'groups': [{'group': 3.0, 'sum': 43.553277968904695}, {'group': 4.0, 'sum': 37449.77550345606}]}","{'groups': [{'group': 3.0, 'sum': 42.57965500000001}, {'group': 4.0, 'sum': 37368.315161070925}]}",16,2,,,,
67,16,SSD,"{'groups': [{'group': 3.0, 'sum': 43.553277968904695}, {'group': 4.0, 'sum': 37449.77550345606}]}","{'groups': [{'group': 3.0, 'sum': 42.57965500000001}, {'group': 4.0, 'sum': 37368.315161070925}]}",16,3,,,,
