,SeriesID,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,Source,FootNote,Nature,Units,Reporting Type,Observation Status,Bioclimatic Belt,ISOalpha3,Type,SeriesCode
0,924,Mountain Green Cover Index,024,AGO,2000,94.43466174310008,2000,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Total,,Region,ER_MTN_GRNCVI
0,528,Mountain Green Cover Index,024,AGO,2005,94.13929286583387,2005,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Remaining mountain area,,Region,ER_MTN_GRNCVI
0,528,Mountain Green Cover Index,024,AGO,2005,94.13929286583387,2005,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Total,,Region,ER_MTN_GRNCVI
0,726,Mountain Green Cover Index,024,AGO,2010,94.00266081283682,2010,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Remaining mountain area,,Region,ER_MTN_GRNCVI
0,726,Mountain Green Cover Index,024,AGO,2010,94.00266081283682,2010,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Total,,Region,ER_MTN_GRNCVI
0,132,Mountain Green Cover Index,024,AGO,2015,93.79207177585572,2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Remaining mountain area,,Region,ER_MTN_GRNCVI
0,132,Mountain Green Cover Index,024,AGO,2015,93.79207177585572,2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Total,,Region,ER_MTN_GRNCVI
0,330,Mountain Green Cover Index,024,AGO,2018,93.69684075004852,2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Remaining mountain area,,Region,ER_MTN_GRNCVI
0,330,Mountain Green Cover Index,024,AGO,2018,93.69684075004852,2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Total,,Region,ER_MTN_GRNCVI
0,837,Mountain Green Cover Index,008,ALB,2000,48.488462682162535,2000,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Alpine,,Region,ER_MTN_GRNCVI
1,837,Mountain Green Cover Index,008,ALB,2000,95.70793521376137,2000,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Montane,,Region,ER_MTN_GRNCVI
2,837,Mountain Green Cover Index,008,ALB,2000,98.77807363575903,2000,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Remaining mountain area,,Region,ER_MTN_GRNCVI
0,837,Mountain Green Cover Index,008,ALB,2000,95.7114196250241,2000,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Total,,Region,ER_MTN_GRNCVI
0,441,Mountain Green Cover Index,008,ALB,2005,48.488462682162535,2005,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Alpine,,Region,ER_MTN_GRNCVI
1,441,Mountain Green Cover Index,008,ALB,2005,95.66447386462073,2005,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Montane,,Region,ER_MTN_GRNCVI
2,441,Mountain Green Cover Index,008,ALB,2005,98.77807363575903,2005,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Remaining mountain area,,Region,ER_MTN_GRNCVI
0,441,Mountain Green Cover Index,008,ALB,2005,95.6684600190278,2005,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Total,,Region,ER_MTN_GRNCVI
0,639,Mountain Green Cover Index,008,ALB,2010,48.488462682162535,2010,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Alpine,,Region,ER_MTN_GRNCVI
1,639,Mountain Green Cover Index,008,ALB,2010,95.64933131123398,2010,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Montane,,Region,ER_MTN_GRNCVI
2,639,Mountain Green Cover Index,008,ALB,2010,98.71339458669853,2010,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Remaining mountain area,,Region,ER_MTN_GRNCVI
0,639,Mountain Green Cover Index,008,ALB,2010,95.6527866910107,2010,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Total,,Region,ER_MTN_GRNCVI
